scheme,bucket,sex,race,letter,weight
1,75-84,f,UNKRACE,B,1159842.0
1,75-84,f,UNKRACE,C,703799.0
1,75-84,f,UNKRACE,N,720846.0
1,75-84,f,UNKRACE,R,426416.0
1,75-84,f,UNKRACE,D,98923.0
1,75-84,f,UNKRACE,A,2775.0
1,75-84,f,UNKRACE,E,126956.0
1,75-84,f,UNKRACE,T,21134.0
1,75-84,f,UNKRACE,S,26586.0
1,75-84,f,UNKRACE,U,7559.0
1,75-84,f,UNKRACE,X,10602.0
1,75-84,f,UNKRACE,F,12281.0
1,75-84,f,UNKRACE,P,2146.0
1,75-84,f,UNKRACE,H,179.0
1,ALL,f,UNKRACE,B,4186219.0
1,ALL,f,UNKRACE,C,2513533.0
1,ALL,f,UNKRACE,N,2872319.0
1,ALL,f,UNKRACE,E,440657.0
1,ALL,f,UNKRACE,T,170066.0
1,ALL,f,UNKRACE,U,41188.0
1,ALL,f,UNKRACE,D,366241.0
1,ALL,f,UNKRACE,R,1343323.0
1,ALL,f,UNKRACE,S,169853.0
1,ALL,f,UNKRACE,A,51273.0
1,ALL,f,UNKRACE,P,133025.0
1,ALL,f,UNKRACE,X,44538.0
1,ALL,f,UNKRACE,H,4230.0
1,ALL,f,UNKRACE,F,41825.0
1,PLUS65,f,UNKRACE,B,3692967.0
1,PLUS65,f,UNKRACE,C,1741340.0
1,PLUS65,f,UNKRACE,N,2389161.0
1,PLUS65,f,UNKRACE,D,276782.0
1,PLUS65,f,UNKRACE,R,1163229.0
1,PLUS65,f,UNKRACE,S,83033.0
1,PLUS65,f,UNKRACE,A,9636.0
1,PLUS65,f,UNKRACE,E,339273.0
1,PLUS65,f,UNKRACE,X,31786.0
1,PLUS65,f,UNKRACE,P,7613.0
1,PLUS65,f,UNKRACE,T,56093.0
1,PLUS65,f,UNKRACE,U,18864.0
1,PLUS65,f,UNKRACE,F,38184.0
1,PLUS65,f,UNKRACE,H,484.0
2,75-84,f,UNKRACE,B,1098895.7624984328
2,75-84,f,UNKRACE,N,825627.7279748621
2,75-84,f,UNKRACE,C,585693.6059524576
2,75-84,f,UNKRACE,R,440304.9214291112
2,75-84,f,UNKRACE,U,13518.579166664533
2,75-84,f,UNKRACE,S,22387.47916666781
2,75-84,f,UNKRACE,E,184616.65178556697
2,75-84,f,UNKRACE,D,96581.26666670352
2,75-84,f,UNKRACE,A,2428.5672619047514
2,75-84,f,UNKRACE,F,13688.28392857048
2,75-84,f,UNKRACE,X,10389.514285714413
2,75-84,f,UNKRACE,T,23541.687500002005
2,75-84,f,UNKRACE,P,1827.564285714296
2,75-84,f,UNKRACE,H,542.3880952380956
2,ALL,f,UNKRACE,B,3988534.5979905147
2,ALL,f,UNKRACE,N,3207275.258716641
2,ALL,f,UNKRACE,C,2099760.990479881
2,ALL,f,UNKRACE,E,635040.2575391963
2,ALL,f,UNKRACE,T,179438.78432536637
2,ALL,f,UNKRACE,U,60392.59722215023
2,ALL,f,UNKRACE,X,49095.10376981947
2,ALL,f,UNKRACE,A,44795.379761898555
2,ALL,f,UNKRACE,R,1426373.0611148283
2,ALL,f,UNKRACE,D,373138.271230511
2,ALL,f,UNKRACE,S,136849.6771826327
2,ALL,f,UNKRACE,H,15019.335119047348
2,ALL,f,UNKRACE,F,47567.20992061981
2,ALL,f,UNKRACE,P,115009.47559525094
