bucket,sex,race,overall,position,letter,count
75-84,f,UNKRACE,0,1,B,1159842
75-84,f,UNKRACE,0,1,C,703799
75-84,f,UNKRACE,0,1,N,720846
75-84,f,UNKRACE,0,1,R,426416
75-84,f,UNKRACE,0,1,D,98923
75-84,f,UNKRACE,0,1,A,2775
75-84,f,UNKRACE,0,1,E,126956
75-84,f,UNKRACE,0,1,T,21134
75-84,f,UNKRACE,0,1,S,26586
75-84,f,UNKRACE,0,1,U,7559
75-84,f,UNKRACE,0,1,X,10602
75-84,f,UNKRACE,0,1,F,12281
75-84,f,UNKRACE,0,1,P,2146
75-84,f,UNKRACE,0,1,H,179
75-84,f,UNKRACE,0,2,N,658187
75-84,f,UNKRACE,0,2,C,99648
75-84,f,UNKRACE,0,2,R,373878
75-84,f,UNKRACE,0,2,U,17636
75-84,f,UNKRACE,0,2,B,539148
75-84,f,UNKRACE,0,2,E,217114
75-84,f,UNKRACE,0,2,D,78116
75-84,f,UNKRACE,0,2,F,11839
75-84,f,UNKRACE,0,2,X,14100
75-84,f,UNKRACE,0,2,S,24966
75-84,f,UNKRACE,0,2,T,19096
75-84,f,UNKRACE,0,2,P,739
75-84,f,UNKRACE,0,2,H,1020
75-84,f,UNKRACE,0,2,A,1503
75-84,f,UNKRACE,0,3,B,221217
75-84,f,UNKRACE,0,3,R,134246
75-84,f,UNKRACE,0,3,U,13041
75-84,f,UNKRACE,0,3,S,9866
75-84,f,UNKRACE,0,3,C,49879
75-84,f,UNKRACE,0,3,N,255080
75-84,f,UNKRACE,0,3,E,142185
75-84,f,UNKRACE,0,3,D,38491
75-84,f,UNKRACE,0,3,A,1241
75-84,f,UNKRACE,0,3,T,23627
75-84,f,UNKRACE,0,3,X,6451
75-84,f,UNKRACE,0,3,F,8071
75-84,f,UNKRACE,0,3,P,588
75-84,f,UNKRACE,0,3,H,144
75-84,f,UNKRACE,0,4,B,47140
75-84,f,UNKRACE,0,4,N,59090
75-84,f,UNKRACE,0,4,E,50276
75-84,f,UNKRACE,0,4,D,16453
75-84,f,UNKRACE,0,4,C,16054
75-84,f,UNKRACE,0,4,R,31790
75-84,f,UNKRACE,0,4,U,12162
75-84,f,UNKRACE,0,4,X,2783
75-84,f,UNKRACE,0,4,T,7381
75-84,f,UNKRACE,0,4,S,3707
75-84,f,UNKRACE,0,4,P,256
75-84,f,UNKRACE,0,4,F,5967
75-84,f,UNKRACE,0,4,H,44
75-84,f,UNKRACE,0,4,A,698
75-84,f,UNKRACE,0,5,U,6628
75-84,f,UNKRACE,0,5,B,8208
75-84,f,UNKRACE,0,5,F,2589
75-84,f,UNKRACE,0,5,E,9652
75-84,f,UNKRACE,0,5,R,5362
75-84,f,UNKRACE,0,5,N,9555
75-84,f,UNKRACE,0,5,C,3183
75-84,f,UNKRACE,0,5,T,1536
75-84,f,UNKRACE,0,5,D,4330
75-84,f,UNKRACE,0,5,A,195
75-84,f,UNKRACE,0,5,X,1253
75-84,f,UNKRACE,0,5,S,976
75-84,f,UNKRACE,0,5,P,101
75-84,f,UNKRACE,0,5,H,17
75-84,f,UNKRACE,0,6,S,188
75-84,f,UNKRACE,0,6,D,725
75-84,f,UNKRACE,0,6,T,270
75-84,f,UNKRACE,0,6,R,806
75-84,f,UNKRACE,0,6,E,1669
75-84,f,UNKRACE,0,6,X,338
75-84,f,UNKRACE,0,6,B,1203
75-84,f,UNKRACE,0,6,U,1787
75-84,f,UNKRACE,0,6,N,1276
75-84,f,UNKRACE,0,6,F,628
75-84,f,UNKRACE,0,6,C,545
75-84,f,UNKRACE,0,6,A,59
75-84,f,UNKRACE,0,6,P,22
75-84,f,UNKRACE,0,6,H,9
75-84,f,UNKRACE,0,7,X,71
75-84,f,UNKRACE,0,7,B,146
75-84,f,UNKRACE,0,7,D,96
75-84,f,UNKRACE,0,7,U,284
75-84,f,UNKRACE,0,7,E,207
75-84,f,UNKRACE,0,7,S,35
75-84,f,UNKRACE,0,7,F,126
75-84,f,UNKRACE,0,7,R,88
75-84,f,UNKRACE,0,7,N,162
75-84,f,UNKRACE,0,7,T,37
75-84,f,UNKRACE,0,7,C,92
75-84,f,UNKRACE,0,7,A,4
75-84,f,UNKRACE,0,7,P,4
75-84,f,UNKRACE,0,8,N,16
75-84,f,UNKRACE,0,8,U,33
75-84,f,UNKRACE,0,8,E,24
75-84,f,UNKRACE,0,8,B,11
75-84,f,UNKRACE,0,8,R,13
75-84,f,UNKRACE,0,8,X,6
75-84,f,UNKRACE,0,8,C,12
75-84,f,UNKRACE,0,8,F,14
75-84,f,UNKRACE,0,8,A,2
75-84,f,UNKRACE,0,8,S,5
75-84,f,UNKRACE,0,8,T,1
75-84,f,UNKRACE,0,8,P,1
75-84,f,UNKRACE,0,8,D,5
75-84,f,UNKRACE,0,8,H,1
ALL,f,UNKRACE,0,1,B,4186219
ALL,f,UNKRACE,0,1,C,2513533
ALL,f,UNKRACE,0,1,N,2872319
ALL,f,UNKRACE,0,1,E,440657
ALL,f,UNKRACE,0,1,T,170066
ALL,f,UNKRACE,0,1,U,41188
ALL,f,UNKRACE,0,1,D,366241
ALL,f,UNKRACE,0,1,R,1343323
ALL,f,UNKRACE,0,1,S,169853
ALL,f,UNKRACE,0,1,A,51273
ALL,f,UNKRACE,0,1,P,133025
ALL,f,UNKRACE,0,1,X,44538
ALL,f,UNKRACE,0,1,H,4230
ALL,f,UNKRACE,0,1,F,41825
ALL,f,UNKRACE,0,2,N,2379191
ALL,f,UNKRACE,0,2,C,320875
ALL,f,UNKRACE,0,2,X,68428
