Count,r1,rUCOD
3646614,B,I251
3117811,C,C349
2495501,B,I219
2255607,R,J449
1940602,N,G309
1921090,N,F03
1358644,B,I250
1334131,B,I64
1224447,B,I500
1004208,V,U071
918222,R,J189
876900,C,C509
838703,C,C189
824381,C,C259
736972,N,A419
725360,E,E149
626604,C,C61
574914,B,I119
571473,C,C80
570247,N,G20
454657,P,X42
451484,P,X44
424957,B,I48
413945,B,I10
384065,R,J690
369234,D,K746
351854,B,I429
324303,B,I110
320285,E,E119
320197,C,C679
317664,R,J440
304273,C,C159
300544,B,I469
299872,F,W19
297643,A,K703
297452,B,I619
296716,C,C56
293684,C,C719
280610,C,C64
276785,N,N185
276762,S,X74
275516,R,J841
274306,B,I350
264611,N,R99
261831,N,N390
256440,H,X95
248453,B,I255
248386,C,C859
243978,N,N19
241558,T,V892
241213,C,C900
238329,N,F019
236054,B,I509
234112,N,G311
224617,B,I120
218583,S,X70
216382,B,I259
216214,C,C169
215792,F,W18
208281,B,I694
199411,C,C220
196623,C,C920
196586,E,E142
195026,R,J439
191706,E,E785
180196,N,N189
179725,B,I639
178112,D,K922
174972,B,I629
174407,N,N179
170924,B,I269
169527,B,I679
163314,C,C439
163085,B,I499
158365,C,C229
149818,B,I739
149691,B,I698
149539,C,C20
145157,B,I516
141445,N,G122
139415,B,I709
135288,E,E112
131096,B,I519
128472,N,G931
126802,B,I272
126683,C,D469
126175,D,K559
123816,N,A047
122561,C,C221
111450,B,I672
111448,S,X72
110075,B,I38
104124,N,B182
103880,A,F102
103131,C,C97
103017,B,I609
102288,D,K566
102098,N,R54
100364,C,C541
98991,C,C55
96412,N,R628
94051,N,N180
94006,R,J849
92664,C,C911
90016,P,X41
88545,T,V877
87307,R,J969
84261,C,C539
83924,R,J441
83771,B,I420
83765,N,G35
83228,D,K769
82738,E,E668
75238,E,E46
74423,N,G318
73999,N,G301
73920,B,I710
73892,D,K729
72991,B,I132
70309,B,I214
69993,C,C499
69886,A,F101
69292,C,C329
68138,X,W80
66054,T,V092
64919,R,J459
64204,C,C798
64053,N,P072
63786,P,X64
62978,C,C19
62482,E,E43
61320,E,E145
61145,R,J984
60829,B,I713
58334,S,X73
57921,E,E109
56502,C,C833
56294,C,C959
55596,B,I802
53636,N,D649
53000,C,C851
52759,E,E669
51662,R,J961
51074,U,X599
50841,E,E141
50763,N,G319
50640,B,I249
50536,B,I620
50348,X,X00
50015,U,X590
49022,T,V031
48723,D,K631
48424,A,K709
46706,F,W10
45952,D,K859
45774,E,E86
45598,C,C029
44771,B,I340
44137,B,I131
43952,B,I461
43950,C,C23
43765,C,C787
43443,C,D432
43149,N,R092
42570,N,M069
42393,N,G934
41993,R,J159
41649,E,E889
41530,D,K760
41308,E,E872
39245,C,C459
38960,H,X99
38856,T,V435
38809,E,E780
38721,R,J960
38653,A,X45
38592,D,K550
38146,N,B24
37778,C,C73
