ICD10 Code,UCOD_Rec,UCOD_Ent,Contrib_Rec,Contrib_Ent,Match Type,Rule,Cause,RuleName,Occurrences
1,0,0,518,0,none,none,Unknown,,518
A000,1,0,0,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A001,0,0,1,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A009,10,5,6,16,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),37
A010,4,0,4,8,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),16
A014,2,2,2,2,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),8
A020,257,51,162,307,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),777
A021,509,163,141,249,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),1062
A022,60,5,23,23,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),111
A028,0,0,1,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A029,152,109,593,775,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),1629
A030,22,4,14,32,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),72
A031,1,1,3,3,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),8
A033,3,2,1,2,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),8
A038,2,0,2,4,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),8
A039,55,14,42,86,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),197
A040,15,3,6,18,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),42
A041,12,1,5,16,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),34
A042,2,2,1,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),6
A043,3,3,0,0,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),6
A044,104,18,91,179,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),392
A045,95,9,91,178,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),373
A046,10,2,18,26,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),56
A047,123931,30210,82991,178375,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),415507
A0471,0,0,3,0,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),3
A048,1314,338,815,1803,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),4270
A049,408,88,155,503,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),1154
A051,67,23,18,66,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),174
A052,5,0,2,8,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),15
A053,21,4,7,24,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),56
A054,0,0,2,2,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),4
A059,15,5,11,28,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),59
A060,6,4,8,9,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),27
A061,0,0,3,3,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),6
A062,1,1,0,0,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A063,1,0,0,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A064,17,8,3,10,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),38
A065,1,1,1,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),4
A066,10,8,5,8,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),31
A067,1,0,3,4,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),8
A068,6,5,4,6,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),21
A069,22,9,15,34,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),80
A071,13,2,57,72,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),144
A072,58,46,159,275,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),538
