Letter,First,Not_First,Only,W1,W2A,Anywhere,Mean_Ls
=== ALL ===,,,,,,,
B,3715393,3610996,1471776,3656397.2,3677914.1,7326389,1.951
C,2493925,371693,974641,1824104.7,1676635.3,2865618,2.124
N,2467665,4540553,1047523,3145206.9,3274335.8,7008218,1.914
R,1045835,2834519,219951,1418012.1,1505674.8,3880354,2.371
E,679312,2012969,57221,884186.8,947088.2,2692281,2.624
D,394155,591506,73990,376566.7,373566.8,985661,2.636
V,1004208,165605,58208,574009.6,439902.3,1169813,3.065
P,425941,76596,250814,357901.0,340794.2,502537,1.779
T,192098,521906,110697,310574.3,331513.7,714004,1.591
S,174458,368656,31038,204246.6,222061.4,543114,1.966
A,202448,210018,46135,174479.1,168259.0,412466,2.575
X,101723,89262,1,65315.2,58391.2,190985,3.106
F,180456,48544,0,98224.3,69456.8,229000,3.544
H,97482,880,1,48899.0,40964.4,98362,2.517
U,43682,278667,21,80657.5,92223.1,322349,3.708
All,13218781,15722370,4342017,13218781.0,13218781.0,28941151,
,,,,,,,
=== LT65 ===,,,,,,,
B,694710,768263,250017,693094.4,700233.0,1462973,2.022
C,638449,57216,261635,463894.4,427242.6,695665,2.06
N,401708,1074605,178490,610305.4,650693.8,1476313,1.919
R,168243,651245,29555,274608.1,300299.1,819488,2.469
E,180241,465157,18070,219808.1,231447.1,645398,2.606
D,116400,197934,24770,120049.4,121445.3,314334,2.534
V,248498,31601,15369,139808.0,105891.0,280099,3.063
P,395763,61860,237366,332808.3,317064.3,457623,1.751
T,152890,301256,90657,232130.0,240409.9,454146,1.537
S,138636,138758,23015,128139.2,131819.4,277394,1.974
A,151907,151053,36769,130989.7,126740.2,302960,2.516
X,60307,24653,0,34306.2,29725.2,84960,2.847
F,22887,4190,0,12122.6,8997.8,27077,3.28
H,92267,607,1,46247.4,38779.3,92874,2.509
U,14133,136905,11,38727.9,46251.2,151038,3.406
All,3477039,4065303,1165725,3477039.0,3477039.0,7542342,
,,,,,,,
=== GE65 ===,,,,,,,
B,3020683,2842733,1221759,2963302.8,2977681.1,5863416,1.935
C,1855476,314477,713006,1360210.2,1249392.7,2169953,2.146
N,2065957,3465948,869033,2534901.6,2623641.9,5531905,1.914
R,877592,2183274,190396,1143404.0,1205375.7,3060866,2.352
E,499071,1547812,39151,664378.7,715641.1,2046883,2.631
D,277755,393572,49220,256517.3,252121.5,671327,2.679
V,755710,134004,42839,434201.6,334011.3,889714,3.065
P,30178,14736,13448,25092.8,23730.0,44914,2.155
T,39208,220650,20040,78444.3,91103.9,259858,1.802
S,35822,229898,8023,76107.4,90242.0,265720,1.933
A,50541,58965,9366,43489.4,41518.8,109506,2.752
X,41416,64609,1,31009.0,28666.0,106025,3.484
F,157569,44354,0,86101.7,60459.0,201923,3.582
H,5215,273,0,2651.6,2185.1,5488,2.656
U,29549,141762,10,41929.6,45971.9,171311,3.853
All,9741742,11657067,3176292,9741742.0,9741742.0,21398809,
,,,,,,,
