Letter,First,Not_First,Only,W1,W2A,Anywhere,Mean_Ls
=== ALL ===,,,,,,,
B,3715393,3610996,1189954,3867490.8,3942389.1,11930249,2.95
C,2493925,371693,907796,1826568.7,1614765.5,3228877,2.658
N,2467665,4540553,927396,3131497.0,3378262.0,10662762,2.707
R,1045835,2834519,206285,1387921.9,1497315.0,5280854,3.439
E,679312,2012969,56735,732814.2,765988.9,3144606,3.784
D,394155,591506,71211,365005.3,347071.3,1189570,3.698
V,1004208,165605,58208,565620.9,369701.2,1170502,4.096
P,425941,76596,30908,395974.0,377532.1,1394562,3.939
T,192098,521906,105123,309816.8,332083.1,852504,2.162
S,174458,368656,26662,200953.6,227210.0,690396,2.209
A,202448,210018,45895,162152.4,149901.4,456642,3.247
X,101723,89262,1,62266.3,51031.7,192793,3.759
F,180456,48544,0,96612.1,59338.4,229194,4.465
H,97482,880,1,49049.9,33552.9,99807,3.183
U,43682,278667,21,65037.2,72638.3,336162,4.973
All,13218781,15722370,3626196,13218781.0,13218781.0,40859480,
,,,,,,,
=== LT65 ===,,,,,,,
B,694710,768263,212875,720615.6,733964.7,2226168,2.952
C,638449,57216,239947,469008.7,417318.4,804180,2.574
N,401708,1074605,149398,603327.2,677518.6,2296475,2.78
R,168243,651245,27490,266679.9,301704.1,1133804,3.576
E,180241,465157,17843,189272.2,194947.5,761490,3.633
D,116400,197934,23775,117239.5,115374.5,388973,3.545
V,248498,31601,15369,138176.1,88707.2,280189,4.11
P,395763,61860,28794,368121.2,351242.4,1288065,3.907
T,152890,301256,86051,234428.9,245314.7,558655,2.064
S,138636,138758,19741,127016.2,135667.7,354686,2.197
A,151907,151053,36558,121682.2,113358.1,340066,3.153
X,60307,24653,0,33397.3,26672.8,85932,3.377
F,22887,4190,0,11995.5,7911.5,27095,3.994
H,92267,607,1,46384.2,31680.4,94126,3.173
U,14133,136905,11,29694.4,35656.3,158167,4.511
All,3477039,4065303,857853,3477039.0,3477039.0,10798071,
,,,,,,,
=== GE65 ===,,,,,,,
B,3020683,2842733,977079,3146875.3,3208424.3,9704081,2.949
C,1855476,314477,667849,1357560.0,1197447.1,2424697,2.687
N,2065957,3465948,777998,2528169.9,2700743.5,8366287,2.693
R,877592,2183274,178795,1121241.9,1195610.9,4147050,3.413
E,499071,1547812,38892,543542.0,571041.4,2383116,3.838
D,277755,393572,47436,247765.7,231696.8,800597,3.762
V,755710,134004,42839,427444.8,280994.0,890313,4.091
P,30178,14736,2114,27852.8,26289.7,106497,4.365
T,39208,220650,19072,75387.9,86768.4,293849,2.544
S,35822,229898,6921,73937.4,91542.3,335710,2.255
A,50541,58965,9337,40470.2,36543.3,116576,3.529
X,41416,64609,1,28869.0,24358.8,106861,4.314
F,157569,44354,0,84616.7,51426.9,202099,4.534
H,5215,273,0,2665.7,1872.5,5681,3.356
U,29549,141762,10,35342.9,36982.0,177995,5.193
All,9741742,11657067,2768343,9741742.0,9741742.0,30061409,
,,,,,,,
