Code,N_ucod,N_total,N_contrib,Ratio,Description
V952,487,487,0,1.0000,
V555,401,401,0,1.0000,
V456,303,303,0,1.0000,
V958,260,260,0,1.0000,
V249,192,192,0,1.0000,
V695,192,192,0,1.0000,
V245,187,187,0,1.0000,
V205,140,140,0,1.0000,
V159,139,139,0,1.0000,
V556,116,116,0,1.0000,
V298,97,97,0,1.0000,
V195,83,83,0,1.0000,
V426,81,81,0,1.0000,
V465,81,81,0,1.0000,
V487,79,79,0,1.0000,
V953,78,78,0,1.0000,
V135,76,76,0,1.0000,
V857,74,74,0,1.0000,
V225,73,73,0,1.0000,
V908,70,70,0,1.0000,
V154,69,69,0,1.0000,
V491,61,61,0,1.0000,
V879,60,60,0,1.0000,
V835,58,58,0,1.0000,
V746,56,56,0,1.0000,
V565,53,53,0,1.0000,
V131,50,50,0,1.0000,
V639,50,50,0,1.0000,
V801,50,50,0,1.0000,
V698,50,50,0,1.0000,
V924,47,47,0,1.0000,
V875,47,47,0,1.0000,
V061,47,47,0,1.0000,
V254,44,44,0,1.0000,
V818,42,42,0,1.0000,
V525,39,39,0,1.0000,
V409,39,39,0,1.0000,
V830,39,39,0,1.0000,
V170,39,39,0,1.0000,
V960,39,39,0,1.0000,
V473,37,37,0,1.0000,
V574,37,37,0,1.0000,
W52,36,36,0,1.0000,
V968,35,35,0,1.0000,
V450,34,34,0,1.0000,
V904,33,33,0,1.0000,
V814,33,33,0,1.0000,
V220,32,32,0,1.0000,
B150,32,32,0,1.0000,
V812,31,31,0,1.0000,
V846,30,30,0,1.0000,
V172,30,30,0,1.0000,
V901,29,29,0,1.0000,
V817,29,29,0,1.0000,
V385,29,29,0,1.0000,
V591,28,28,0,1.0000,
V466,28,28,0,1.0000,
V693,28,28,0,1.0000,
U014,27,27,0,1.0000,
V335,27,27,0,1.0000,
V745,25,25,0,1.0000,
V566,25,25,0,1.0000,
V841,24,24,0,1.0000,
V659,24,24,0,1.0000,
V947,24,24,0,1.0000,
V550,23,23,0,1.0000,
V815,23,23,0,1.0000,
V291,22,22,0,1.0000,
V842,22,22,0,1.0000,
V145,21,21,0,1.0000,
V970,21,21,0,1.0000,
V775,21,21,0,1.0000,
V687,21,21,0,1.0000,
V571,21,21,0,1.0000,
V776,20,20,0,1.0000,
V526,20,20,0,1.0000,
V451,20,20,0,1.0000,
V419,20,20,0,1.0000,
V794,20,20,0,1.0000,
V104,20,20,0,1.0000,
V811,19,19,0,1.0000,
V506,19,19,0,1.0000,
V440,18,18,0,1.0000,
V605,18,18,0,1.0000,
F204,18,18,0,1.0000,
V920,17,17,0,1.0000,
V529,17,17,0,1.0000,
V269,17,17,0,1.0000,
V837,16,16,0,1.0000,
K574,16,16,0,1.0000,
V756,16,16,0,1.0000,
V152,15,15,0,1.0000,
O036,15,15,0,1.0000,
V735,15,15,0,1.0000,
V917,15,15,0,1.0000,
V399,15,15,0,1.0000,
V656,15,15,0,1.0000,
V191,14,14,0,1.0000,
V807,14,14,0,1.0000,
V934,14,14,0,1.0000,
V933,14,14,0,1.0000,
O980,13,13,0,1.0000,
V231,13,13,0,1.0000,
V444,13,13,0,1.0000,
C118,12,12,0,1.0000,
V150,12,12,0,1.0000,
V938,12,12,0,1.0000,
V884,12,12,0,1.0000,
V530,12,12,0,1.0000,
V141,12,12,0,1.0000,
C112,12,12,0,1.0000,
V852,12,12,0,1.0000,
V200,12,12,0,1.0000,
V911,12,12,0,1.0000,
V844,11,11,0,1.0000,
V271,11,11,0,1.0000,
V918,11,11,0,1.0000,
V573,11,11,0,1.0000,
V185,11,11,0,1.0000,
V169,10,10,0,1.0000,
V151,10,10,0,1.0000,
V681,10,10,0,1.0000,
V112,10,10,0,1.0000,
K451,10,10,0,1.0000,
V912,10,10,0,1.0000,
V856,10,10,0,1.0000,
P270,10,10,0,1.0000,
A217,10,10,0,1.0000,
V453,9,9,0,1.0000,
V921,9,9,0,1.0000,
V851,9,9,0,1.0000,
V540,9,9,0,1.0000,
V345,9,9,0,1.0000,
V281,9,9,0,1.0000,
V650,9,9,0,1.0000,
V749,8,8,0,1.0000,
V222,8,8,0,1.0000,
V739,8,8,0,1.0000,
V577,8,8,0,1.0000,
V232,8,8,0,1.0000,
V932,8,8,0,1.0000,
V886,8,8,0,1.0000,
V882,8,8,0,1.0000,
V881,8,8,0,1.0000,
V201,8,8,0,1.0000,
V110,8,8,0,1.0000,
V544,8,8,0,1.0000,
V183,7,7,0,1.0000,
V969,7,7,0,1.0000,
V810,7,7,0,1.0000,
V519,7,7,0,1.0000,
V401,7,7,0,1.0000,
V255,7,7,0,1.0000,
V930,7,7,0,1.0000,
V836,7,7,0,1.0000,
V927,6,6,0,1.0000,
V900,6,6,0,1.0000,
G212,6,6,0,1.0000,
V98,6,6,0,1.0000,
V833,6,6,0,1.0000,
V670,6,6,0,1.0000,
V665,6,6,0,1.0000,
V551,6,6,0,1.0000,
V477,6,6,0,1.0000,
V437,6,6,0,1.0000,
V383,6,6,0,1.0000,
V142,6,6,0,1.0000,
A192,6,6,0,1.0000,
V942,6,6,0,1.0000,
V634,6,6,0,1.0000,
V592,6,6,0,1.0000,
V554,6,6,0,1.0000,
V441,6,6,0,1.0000,
V380,6,6,0,1.0000,
V339,6,6,0,1.0000,
V265,6,6,0,1.0000,
P370,6,6,0,1.0000,
B650,6,6,0,1.0000,
V792,5,5,0,1.0000,
V541,5,5,0,1.0000,
V251,5,5,0,1.0000,
V243,5,5,0,1.0000,
V647,5,5,0,1.0000,
V553,5,5,0,1.0000,
V219,5,5,0,1.0000,
Y823,5,5,0,1.0000,
Y351,5,5,0,1.0000,
V941,5,5,0,1.0000,
V415,5,5,0,1.0000,
V389,5,5,0,1.0000,
V386,5,5,0,1.0000,
V215,5,5,0,1.0000,
V202,5,5,0,1.0000,
P500,5,5,0,1.0000,
D437,5,5,0,1.0000,
A251,5,5,0,1.0000,
K713,4,4,0,1.0000,
V515,4,4,0,1.0000,
V674,4,4,0,1.0000,
V644,4,4,0,1.0000,
V572,4,4,0,1.0000,
V531,4,4,0,1.0000,
V395,4,4,0,1.0000,
V242,4,4,0,1.0000,
O748,4,4,0,1.0000,
O690,4,4,0,1.0000,
O067,4,4,0,1.0000,
C048,4,4,0,1.0000,
V971,4,4,0,1.0000,
V910,4,4,0,1.0000,
V834,4,4,0,1.0000,
V609,4,4,0,1.0000,
V602,4,4,0,1.0000,
V537,4,4,0,1.0000,
V250,4,4,0,1.0000,
V240,4,4,0,1.0000,
L211,4,4,0,1.0000,
D811,4,4,0,1.0000,
D092,4,4,0,1.0000,
B271,4,4,0,1.0000,
A282,4,4,0,1.0000,
A212,4,4,0,1.0000,
O909,3,3,0,1.0000,
V677,3,3,0,1.0000,
V651,3,3,0,1.0000,
V629,3,3,0,1.0000,
V376,3,3,0,1.0000,
V324,3,3,0,1.0000,
V155,3,3,0,1.0000,
O020,3,3,0,1.0000,
Y731,3,3,0,1.0000,
Y649,3,3,0,1.0000,
V907,3,3,0,1.0000,
V825,3,3,0,1.0000,
V691,3,3,0,1.0000,
V671,3,3,0,1.0000,
V643,3,3,0,1.0000,
V547,3,3,0,1.0000,
V501,3,3,0,1.0000,
V424,3,3,0,1.0000,
V407,3,3,0,1.0000,
V404,3,3,0,1.0000,
V384,3,3,0,1.0000,
V379,3,3,0,1.0000,
V301,3,3,0,1.0000,
V175,3,3,0,1.0000,
V164,3,3,0,1.0000,
Q914,3,3,0,1.0000,
O717,3,3,0,1.0000,
G254,3,3,0,1.0000,
D812,3,3,0,1.0000,
C398,3,3,0,1.0000,
C004,3,3,0,1.0000,
B574,3,3,0,1.0000,
B085,3,3,0,1.0000,
B068,3,3,0,1.0000,
A241,3,3,0,1.0000,
A043,3,3,0,1.0000,
V653,2,2,0,1.0000,
V619,2,2,0,1.0000,
V601,2,2,0,1.0000,
U018,2,2,0,1.0000,
U012,2,2,0,1.0000,
O730,2,2,0,1.0000,
C572,2,2,0,1.0000,
A270,2,2,0,1.0000,
Y782,2,2,0,1.0000,
W42,2,2,0,1.0000,
V880,2,2,0,1.0000,
V854,2,2,0,1.0000,
V826,2,2,0,1.0000,
V822,2,2,0,1.0000,
V673,2,2,0,1.0000,
V654,2,2,0,1.0000,
V625,2,2,0,1.0000,
V533,2,2,0,1.0000,
V447,2,2,0,1.0000,
V432,2,2,0,1.0000,
V416,2,2,0,1.0000,
V400,2,2,0,1.0000,
V393,2,2,0,1.0000,
V392,2,2,0,1.0000,
V346,2,2,0,1.0000,
V336,2,2,0,1.0000,
V334,2,2,0,1.0000,
V325,2,2,0,1.0000,
V305,2,2,0,1.0000,
V273,2,2,0,1.0000,
V252,2,2,0,1.0000,
V223,2,2,0,1.0000,
V221,2,2,0,1.0000,
V143,2,2,0,1.0000,
V120,2,2,0,1.0000,
Q960,2,2,0,1.0000,
Q862,2,2,0,1.0000,
Q351,2,2,0,1.0000,
P962,2,2,0,1.0000,
P570,2,2,0,1.0000,
O911,2,2,0,1.0000,
O701,2,2,0,1.0000,
O339,2,2,0,1.0000,
O301,2,2,0,1.0000,
O292,2,2,0,1.0000,
O200,2,2,0,1.0000,
O140,2,2,0,1.0000,
O063,2,2,0,1.0000,
O058,2,2,0,1.0000,
O033,2,2,0,1.0000,
O029,2,2,0,1.0000,
N071,2,2,0,1.0000,
M767,2,2,0,1.0000,
I840,2,2,0,1.0000,
F631,2,2,0,1.0000,
E011,2,2,0,1.0000,
D814,2,2,0,1.0000,
D518,2,2,0,1.0000,
D311,2,2,0,1.0000,
C408,2,2,0,1.0000,
C388,2,2,0,1.0000,
B778,2,2,0,1.0000,
B669,2,2,0,1.0000,
B64,2,2,0,1.0000,
A962,2,2,0,1.0000,
A541,2,2,0,1.0000,
Y812,1,1,0,1.0000,
Y801,1,1,0,1.0000,
Y780,1,1,0,1.0000,
Y743,1,1,0,1.0000,
Y586,1,1,0,1.0000,
Y569,1,1,0,1.0000,
Y567,1,1,0,1.0000,
X349,1,1,0,1.0000,
V940,1,1,0,1.0000,
V936,1,1,0,1.0000,
V885,1,1,0,1.0000,
V883,1,1,0,1.0000,
V827,1,1,0,1.0000,
V803,1,1,0,1.0000,
V791,1,1,0,1.0000,
V790,1,1,0,1.0000,
V773,1,1,0,1.0000,
V769,1,1,0,1.0000,
V766,1,1,0,1.0000,
V755,1,1,0,1.0000,
V729,1,1,0,1.0000,
V726,1,1,0,1.0000,
V724,1,1,0,1.0000,
V706,1,1,0,1.0000,
V672,1,1,0,1.0000,
V669,1,1,0,1.0000,
V666,1,1,0,1.0000,
V660,1,1,0,1.0000,
V642,1,1,0,1.0000,
V641,1,1,0,1.0000,
V637,1,1,0,1.0000,
V607,1,1,0,1.0000,
V604,1,1,0,1.0000,
V603,1,1,0,1.0000,
V564,1,1,0,1.0000,
V543,1,1,0,1.0000,
V516,1,1,0,1.0000,
V507,1,1,0,1.0000,
